Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
WFHY,2777,0,0.00,0,0.00,44.16,2777,0
QVAL,2763,0,0.00,0,0.00,33.66,2763,0
MOHR,2726,0,0.00,0,0.00,19.46,2726,0
IBHF,2723,0,0.00,0,0.00,22.61,2723,0
DDEC,2707,0,0.00,0,0.00,33.21,2607,100
LQDW,2706,0,0.00,0,0.00,33.37,2706,0
QJUN,2669,0,0.00,0,0.00,22.01,2584,85
AESR,2628,0,0.00,0,0.00,12.43,2418,210
IETC,2622,0,0.00,0,0.00,52.68,2622,0
KAPR,2606,0,0.00,0,0.00,27.29,2228,378
RSEE,2597,0,0.00,0,0.00,26.04,2597,0
FSEP,2559,0,0.00,0,0.00,36.83,2559,0
HYGW,2559,0,0.00,0,0.00,35.50,2547,12
GAPR,2525,0,0.00,0,0.00,30.53,525,2000
DAPR,2519,0,0.00,0,0.00,30.22,2519,0
MDLV,2502,0,0.00,0,0.00,23.86,2502,0
DDWM,2500,0,0.00,0,0.00,31.45,2500,0
VFVA,2494,0,0.00,0,0.00,98.49,2494,0
PDEC,2489,0,0.00,0,0.00,32.42,2489,0
IGHG,2466,0,0.00,0,0.00,71.52,2466,0
BJUL,2414,0,0.00,0,0.00,34.09,2414,0
VAMO,2359,0,0.00,0,0.00,25.20,2359,0
DRSK,2340,0,0.00,0,0.00,24.91,2340,0
PMAY,2331,0,0.00,0,0.00,29.25,2331,0
NJUL,2308,0,0.00,0,0.00,50.88,1008,1300
UAUG,2282,0,0.00,0,0.00,27.87,2282,0
HYDB,2243,0,0.00,0,0.00,44.45,2243,0
XDEC,2233,0,0.00,0,0.00,32.31,2233,0
BBHY,2232,0,0.00,0,0.00,44.35,2232,0
CEMB,2204,0,0.00,0,0.00,43.14,2204,0
BUFG,2202,0,0.00,0,0.00,19.72,2202,0
IYJ,2177,0,0.00,0,0.00,101.23,2177,0
XBJA,2136,0,0.00,0,0.00,24.29,2136,0
SMIN,2127,0,0.00,0,0.00,55.36,2126,1
DNOV,2097,0,0.00,0,0.00,35.48,2097,0
XSEP,2071,0,0.00,0,0.00,33.54,2071,0
ZIVB,2003,0,0.00,0,0.00,17.47,2003,0
UMAR,2002,0,0.00,0,0.00,29.58,2002,0
PSEP,1983,0,0.00,0,0.00,31.83,1983,0
NETZ,1972,0,0.00,0,0.00,50.28,1972,0
OILK,1972,0,0.00,0,0.00,40.07,1972,0
FSMO,1963,0,0.00,0,0.00,20.92,1963,0
